department,category,budget_eur,project_id,country,date,amount_local,original_currency,rate,amount_eur
Supply,Cold Chain,4178.83,SN02,Senegal,2025-07-31,,XOF,0.001524,
HR,Salaries,2123.79,SN02,Senegal,2025-08-31,,XOF,0.001524,
HR,Training,2109.88,SN02,Senegal,2025-08-31,,XOF,0.001524,
HR,Recruitment,2959.81,SN02,Senegal,2025-08-31,,XOF,0.001524,
Medical,Medications,4623.71,SN02,Senegal,2025-08-31,,XOF,0.001524,
Medical,Medical Equipment,2505.79,SN02,Senegal,2025-08-31,,XOF,0.001524,
Medical,Consultations,3456.26,SN02,Senegal,2025-08-31,,XOF,0.001524,
Logistics,Fuel,2392.13,SN02,Senegal,2025-08-31,,XOF,0.001524,
Logistics,Transport,4039.86,SN02,Senegal,2025-08-31,,XOF,0.001524,
Logistics,Vehicle Maintenance,3914.61,SN02,Senegal,2025-08-31,,XOF,0.001524,
Supply,Supplies,4443.22,SN02,Senegal,2025-08-31,,XOF,0.001524,
Supply,Warehousing,2580.95,SN02,Senegal,2025-08-31,,XOF,0.001524,
Supply,Cold Chain,4353.64,SN02,Senegal,2025-08-31,,XOF,0.001524,
HR,Salaries,4935.11,SN02,Senegal,2025-09-30,,XOF,0.001524,
HR,Training,1694.77,SN02,Senegal,2025-09-30,,XOF,0.001524,
HR,Recruitment,1413.73,SN02,Senegal,2025-09-30,,XOF,0.001524,
Medical,Medications,4722.94,SN02,Senegal,2025-09-30,,XOF,0.001524,
Medical,Medical Equipment,1101.21,SN02,Senegal,2025-09-30,,XOF,0.001524,
Medical,Consultations,1851.88,SN02,Senegal,2025-09-30,,XOF,0.001524,
Logistics,Fuel,2181.04,SN02,Senegal,2025-09-30,,XOF,0.001524,
Logistics,Transport,1482.37,SN02,Senegal,2025-09-30,,XOF,0.001524,
Logistics,Vehicle Maintenance,1713.59,SN02,Senegal,2025-09-30,,XOF,0.001524,
Supply,Supplies,3994.95,SN02,Senegal,2025-09-30,,XOF,0.001524,
Supply,Warehousing,2052.85,SN02,Senegal,2025-09-30,,XOF,0.001524,
Supply,Cold Chain,2280.08,SN02,Senegal,2025-09-30,,XOF,0.001524,
HR,Salaries,1661.25,SN02,Senegal,2025-10-31,,XOF,0.001524,
HR,Training,4620.96,SN02,Senegal,2025-10-31,,XOF,0.001524,
HR,Recruitment,3051.04,SN02,Senegal,2025-10-31,,XOF,0.001524,
Medical,Medications,1030.79,SN02,Senegal,2025-10-31,,XOF,0.001524,
Medical,Medical Equipment,2363.26,SN02,Senegal,2025-10-31,,XOF,0.001524,
Medical,Consultations,4264.87,SN02,Senegal,2025-10-31,,XOF,0.001524,
Logistics,Fuel,1036.1,SN02,Senegal,2025-10-31,,XOF,0.001524,
Logistics,Transport,4333.09,SN02,Senegal,2025-10-31,,XOF,0.001524,
Logistics,Vehicle Maintenance,4412.9,SN02,Senegal,2025-10-31,,XOF,0.001524,
Supply,Supplies,4683.22,SN02,Senegal,2025-10-31,,XOF,0.001524,
Supply,Warehousing,4015.77,SN02,Senegal,2025-10-31,,XOF,0.001524,
Supply,Cold Chain,1514.03,SN02,Senegal,2025-10-31,,XOF,0.001524,
HR,Salaries,1409.43,SN02,Senegal,2025-11-30,,XOF,0.001524,
HR,Training,3497.48,SN02,Senegal,2025-11-30,,XOF,0.001524,
HR,Recruitment,4388.07,SN02,Senegal,2025-11-30,,XOF,0.001524,
Medical,Medications,2661.45,SN02,Senegal,2025-11-30,,XOF,0.001524,
Medical,Medical Equipment,4802.62,SN02,Senegal,2025-11-30,,XOF,0.001524,
Medical,Consultations,3870.8,SN02,Senegal,2025-11-30,,XOF,0.001524,
Logistics,Fuel,1744.09,SN02,Senegal,2025-11-30,,XOF,0.001524,
Logistics,Transport,1251.12,SN02,Senegal,2025-11-30,,XOF,0.001524,
Logistics,Vehicle Maintenance,2436.0,SN02,Senegal,2025-11-30,,XOF,0.001524,
Supply,Supplies,4328.38,SN02,Senegal,2025-11-30,,XOF,0.001524,
Supply,Warehousing,2433.89,SN02,Senegal,2025-11-30,,XOF,0.001524,
Supply,Cold Chain,2013.98,SN02,Senegal,2025-11-30,,XOF,0.001524,
HR,Salaries,2636.2,SN02,Senegal,2025-12-31,,XOF,0.001524,
HR,Training,2089.53,SN02,Senegal,2025-12-31,,XOF,0.001524,
HR,Recruitment,4483.58,SN02,Senegal,2025-12-31,,XOF,0.001524,
Medical,Medications,1516.42,SN02,Senegal,2025-12-31,,XOF,0.001524,
Medical,Medical Equipment,2100.32,SN02,Senegal,2025-12-31,,XOF,0.001524,
Medical,Consultations,1601.58,SN02,Senegal,2025-12-31,,XOF,0.001524,
Logistics,Fuel,4836.64,SN02,Senegal,2025-12-31,,XOF,0.001524,
Logistics,Transport,4832.81,SN02,Senegal,2025-12-31,,XOF,0.001524,
Logistics,Vehicle Maintenance,2144.99,SN02,Senegal,2025-12-31,,XOF,0.001524,
Supply,Supplies,4428.73,SN02,Senegal,2025-12-31,,XOF,0.001524,
Supply,Warehousing,2613.74,SN02,Senegal,2025-12-31,,XOF,0.001524,
Supply,Cold Chain,3368.62,SN02,Senegal,2025-12-31,,XOF,0.001524,
HR,Salaries,2684.05,BF01,Burkina Faso,2023-01-31,1841841.98159,XOF,0.001524,2806.96717994316
HR,Training,3178.92,BF01,Burkina Faso,2023-01-31,2161384.87457,XOF,0.001524,3293.95054884468
HR,Recruitment,4459.01,BF01,Burkina Faso,2023-01-31,2747639.88375,XOF,0.001524,4187.403182835
Medical,Medications,2960.56,BF01,Burkina Faso,2023-01-31,1654848.3196,XOF,0.001524,2521.9888390704
Medical,Medical Equipment,3841.15,BF01,Burkina Faso,2023-01-31,2099068.95957,XOF,0.001524,3198.9810943846796
Medical,Consultations,1193.44,BF01,Burkina Faso,2023-01-31,729319.2308799999,XOF,0.001524,1111.4825078611198
Logistics,Fuel,4413.51,BF01,Burkina Faso,2023-01-31,2921842.3842399996,XOF,0.001524,4452.887793581759
Logistics,Transport,2593.67,BF01,Burkina Faso,2023-01-31,1592506.16632,XOF,0.001524,2426.97939747168
Logistics,Vehicle Maintenance,2985.5,BF01,Burkina Faso,2023-01-31,1904361.24326,XOF,0.001524,2902.2465347282396
Supply,Supplies,4815.16,BF01,Burkina Faso,2023-01-31,2890907.45212,XOF,0.001524,4405.74295703088
Supply,Warehousing,2916.59,BF01,Burkina Faso,2023-01-31,1905168.0703699999,XOF,0.001524,2903.4761392438795
Supply,Cold Chain,3492.86,BF01,Burkina Faso,2023-01-31,2375220.297,XOF,0.001524,3619.8357326279997
HR,Salaries,4060.04,BF01,Burkina Faso,2023-02-28,2396571.69735,XOF,0.001524,3652.3752667614
HR,Training,3902.51,BF01,Burkina Faso,2023-02-28,2680889.69943,XOF,0.001524,4085.67590193132
HR,Recruitment,4010.97,BF01,Burkina Faso,2023-02-28,2525080.23322,XOF,0.001524,3848.22227542728
Medical,Medications,3689.69,BF01,Burkina Faso,2023-02-28,2546326.68045,XOF,0.001524,3880.6018610057995
Medical,Medical Equipment,1136.48,BF01,Burkina Faso,2023-02-28,748269.82861,XOF,0.001524,1140.36321880164
Medical,Consultations,1079.46,BF01,Burkina Faso,2023-02-28,661886.85128,XOF,0.001524,1008.7155613507199
Logistics,Fuel,2247.74,BF01,Burkina Faso,2023-02-28,1258709.32773,XOF,0.001524,1918.27301546052
Logistics,Transport,1946.79,BF01,Burkina Faso,2023-02-28,1375430.31631,XOF,0.001524,2096.15580205644
Logistics,Vehicle Maintenance,1758.93,BF01,Burkina Faso,2023-02-28,1068980.32505,XOF,0.001524,1629.1260153762
Supply,Supplies,2756.84,BF01,Burkina Faso,2023-02-28,1750709.87558,XOF,0.001524,2668.08185038392
Supply,Warehousing,3648.7,BF01,Burkina Faso,2023-02-28,2103778.7308300002,XOF,0.001524,3206.1587857849204
Supply,Cold Chain,3957.57,BF01,Burkina Faso,2023-02-28,2507434.98992,XOF,0.001524,3821.33092463808
HR,Salaries,4266.36,BF01,Burkina Faso,2023-03-31,2736160.63625,XOF,0.001524,4169.908809645
HR,Training,1186.47,BF01,Burkina Faso,2023-03-31,649817.24248,XOF,0.001524,990.32147753952
HR,Recruitment,3247.53,BF01,Burkina Faso,2023-03-31,2256905.33291,XOF,0.001524,3439.5237273548396
Medical,Medications,2958.17,BF01,Burkina Faso,2023-03-31,2056326.80145,XOF,0.001524,3133.8420454098
Medical,Medical Equipment,2066.76,BF01,Burkina Faso,2023-03-31,1110036.67368,XOF,0.001524,1691.6958906883199
Medical,Consultations,3964.74,BF01,Burkina Faso,2023-03-31,2564372.0575200003,XOF,0.001524,3908.10301566048
Logistics,Fuel,4037.24,BF01,Burkina Faso,2023-03-31,2483354.80845,XOF,0.001524,3784.6327280777996
Logistics,Transport,1309.64,BF01,Burkina Faso,2023-03-31,846230.44699,XOF,0.001524,1289.65520121276
Logistics,Vehicle Maintenance,1796.29,BF01,Burkina Faso,2023-03-31,1255796.87865,XOF,0.001524,1913.8344430626
Supply,Supplies,3285.93,BF01,Burkina Faso,2023-03-31,2094227.99691,XOF,0.001524,3191.60346729084
Supply,Warehousing,2983.89,BF01,Burkina Faso,2023-03-31,1770650.96838,XOF,0.001524,2698.47207581112
Supply,Cold Chain,4265.71,BF01,Burkina Faso,2023-03-31,2791976.01738,XOF,0.001524,4254.97145048712
HR,Salaries,1651.22,BF01,Burkina Faso,2023-04-30,974574.99361,XOF,0.001524,1485.25229026164
HR,Training,3511.25,BF01,Burkina Faso,2023-04-30,2317751.90423,XOF,0.001524,3532.2539020465197
HR,Recruitment,2336.07,BF01,Burkina Faso,2023-04-30,1332169.95216,XOF,0.001524,2030.22700709184
Medical,Medications,3329.31,BF01,Burkina Faso,2023-04-30,2204035.19871,XOF,0.001524,3358.9496428340403
Medical,Medical Equipment,3469.36,BF01,Burkina Faso,2023-04-30,2367801.42333,XOF,0.001524,3608.52936915492
Medical,Consultations,1902.49,BF01,Burkina Faso,2023-04-30,1043306.16807,XOF,0.001524,1589.9986001386799
Logistics,Fuel,3518.48,BF01,Burkina Faso,2023-04-30,2393849.4758,XOF,0.001524,3648.2266011192
Logistics,Transport,2994.67,BF01,Burkina Faso,2023-04-30,1885095.78617,XOF,0.001524,2872.88597812308
Logistics,Vehicle Maintenance,3749.41,BF01,Burkina Faso,2023-04-30,2364456.04263,XOF,0.001524,3603.43100896812
Supply,Supplies,1291.81,BF01,Burkina Faso,2023-04-30,765967.54847,XOF,0.001524,1167.33454386828
Supply,Warehousing,1060.2,BF01,Burkina Faso,2023-04-30,612152.19154,XOF,0.001524,932.91993990696
Supply,Cold Chain,3999.76,BF01,Burkina Faso,2023-04-30,2444994.4430899997,XOF,0.001524,3726.1715312691595
HR,Salaries,1389.37,BF01,Burkina Faso,2023-05-31,967038.04768,XOF,0.001524,1473.7659846643198
HR,Training,2055.92,BF01,Burkina Faso,2023-05-31,1226698.62613,XOF,0.001524,1869.4887062221198
HR,Recruitment,3101.55,BF01,Burkina Faso,2023-05-31,2215829.3055700003,XOF,0.001524,3376.9238616886805
Medical,Medications,3042.76,BF01,Burkina Faso,2023-05-31,2135959.98125,XOF,0.001524,3255.203011425
Medical,Medical Equipment,2166.4,BF01,Burkina Faso,2023-05-31,1400750.25651,XOF,0.001524,2134.74339092124
Medical,Consultations,4046.68,BF01,Burkina Faso,2023-05-31,2410969.9535,XOF,0.001524,3674.3182091339995
Logistics,Fuel,3558.54,BF01,Burkina Faso,2023-05-31,1901665.2599900002,XOF,0.001524,2898.13785622476
Logistics,Transport,2218.88,BF01,Burkina Faso,2023-05-31,1413003.53327,XOF,0.001524,2153.41738470348
Logistics,Vehicle Maintenance,4548.44,BF01,Burkina Faso,2023-05-31,3165563.20759,XOF,0.001524,4824.31832836716
Supply,Supplies,3404.72,BF01,Burkina Faso,2023-05-31,1827076.38952,XOF,0.001524,2784.46441762848
Supply,Warehousing,2139.51,BF01,Burkina Faso,2023-05-31,1145819.12803,XOF,0.001524,1746.22835111772
Supply,Cold Chain,1646.2,BF01,Burkina Faso,2023-05-31,964637.24506,XOF,0.001524,1470.10716147144
HR,Salaries,2885.72,BF01,Burkina Faso,2023-06-30,1577747.13382,XOF,0.001524,2404.48663194168
HR,Training,4810.73,BF01,Burkina Faso,2023-06-30,2976004.75373,XOF,0.001524,4535.43124468452
HR,Recruitment,3861.47,BF01,Burkina Faso,2023-06-30,2155415.6658699997,XOF,0.001524,3284.8534747858794
Medical,Medications,4194.96,BF01,Burkina Faso,2023-06-30,2703579.25206,XOF,0.001524,4120.254780139439
Medical,Medical Equipment,1609.77,BF01,Burkina Faso,2023-06-30,956411.5442799999,XOF,0.001524,1457.5711934827198
Medical,Consultations,4427.82,BF01,Burkina Faso,2023-06-30,2887011.06754,XOF,0.001524,4399.80486693096
Logistics,Fuel,4681.26,BF01,Burkina Faso,2023-06-30,3319129.30086,XOF,0.001524,5058.35305451064
Logistics,Transport,4355.86,BF01,Burkina Faso,2023-06-30,2744970.13876,XOF,0.001524,4183.33449147024
Logistics,Vehicle Maintenance,3316.93,BF01,Burkina Faso,2023-06-30,1998517.3110399998,XOF,0.001524,3045.7403820249597
Supply,Supplies,1229.56,BF01,Burkina Faso,2023-06-30,785515.06707,XOF,0.001524,1197.12496221468
Supply,Warehousing,1459.65,BF01,Burkina Faso,2023-06-30,917788.7961200001,XOF,0.001524,1398.7101252868802
Supply,Cold Chain,2319.37,BF01,Burkina Faso,2023-06-30,1586077.78772,XOF,0.001524,2417.1825484852798
HR,Salaries,2915.95,BF01,Burkina Faso,2023-07-31,1800162.4738099999,XOF,0.001524,2743.44761008644
HR,Training,3159.02,BF01,Burkina Faso,2023-07-31,2018143.54448,XOF,0.001524,3075.65076178752
HR,Recruitment,1452.95,BF01,Burkina Faso,2023-07-31,1015362.3998700001,XOF,0.001524,1547.41229740188
Medical,Medications,3608.86,BF01,Burkina Faso,2023-07-31,2098649.14709,XOF,0.001524,3198.34130016516
Medical,Medical Equipment,4875.49,BF01,Burkina Faso,2023-07-31,2965128.98667,XOF,0.001524,4518.85657568508
Medical,Consultations,2685.58,BF01,Burkina Faso,2023-07-31,1437070.5956000001,XOF,0.001524,2190.0955876944
Logistics,Fuel,1657.58,BF01,Burkina Faso,2023-07-31,945548.89636,XOF,0.001524,1441.01651805264
Logistics,Transport,3410.67,BF01,Burkina Faso,2023-07-31,1841691.11148,XOF,0.001524,2806.73725389552
Logistics,Vehicle Maintenance,4548.88,BF01,Burkina Faso,2023-07-31,2481419.7353,XOF,0.001524,3781.6836765972
Supply,Supplies,4048.41,BF01,Burkina Faso,2023-07-31,2387040.64214,XOF,0.001524,3637.8499386213603
Supply,Warehousing,4994.49,BF01,Burkina Faso,2023-07-31,3207177.1196700004,XOF,0.001524,4887.73793037708
Supply,Cold Chain,3540.39,BF01,Burkina Faso,2023-07-31,2330733.2932599997,XOF,0.001524,3552.0375389282394
HR,Salaries,3805.03,BF01,Burkina Faso,2023-08-31,2244789.80712,XOF,0.001524,3421.05966605088
HR,Training,2898.73,BF01,Burkina Faso,2023-08-31,1795360.8685700002,XOF,0.001524,2736.12996370068
HR,Recruitment,4641.14,BF01,Burkina Faso,2023-08-31,2785449.24523,XOF,0.001524,4245.02464973052
Medical,Medications,2501.01,BF01,Burkina Faso,2023-08-31,1713648.30508,XOF,0.001524,2611.60001694192
Medical,Medical Equipment,1905.24,BF01,Burkina Faso,2023-08-31,1021882.6124499999,XOF,0.001524,1557.3491013737998
Medical,Consultations,2249.74,BF01,Burkina Faso,2023-08-31,1602561.98713,XOF,0.001524,2442.30446838612
Logistics,Fuel,3325.61,BF01,Burkina Faso,2023-08-31,2316013.6181799998,XOF,0.001524,3529.6047541063194
Logistics,Transport,3904.73,BF01,Burkina Faso,2023-08-31,2758397.5785499997,XOF,0.001524,4203.7979097102
Logistics,Vehicle Maintenance,3013.57,BF01,Burkina Faso,2023-08-31,1929182.6561399999,XOF,0.001524,2940.0743679573598
Supply,Supplies,4171.81,BF01,Burkina Faso,2023-08-31,2695438.82569,XOF,0.001524,4107.848770351559
Supply,Warehousing,1076.41,BF01,Burkina Faso,2023-08-31,602647.37461,XOF,0.001524,918.4345989056401
Supply,Cold Chain,2526.18,BF01,Burkina Faso,2023-08-31,1726295.1560399998,XOF,0.001524,2630.87381780496
HR,Salaries,3793.95,BF01,Burkina Faso,2023-09-30,2018871.65675,XOF,0.001524,3076.7604048870003
HR,Training,1967.18,BF01,Burkina Faso,2023-09-30,1261215.08347,XOF,0.001524,1922.0917872082798
HR,Recruitment,3333.25,BF01,Burkina Faso,2023-09-30,1789647.4831,XOF,0.001524,2727.4227642444002
Medical,Medications,2193.47,BF01,Burkina Faso,2023-09-30,1306272.7698000001,XOF,0.001524,1990.7597011752002
Medical,Medical Equipment,3965.11,BF01,Burkina Faso,2023-09-30,2375285.8926999997,XOF,0.001524,3619.9357004747994
Medical,Consultations,1352.04,BF01,Burkina Faso,2023-09-30,767987.89603,XOF,0.001524,1170.4135535497198
Logistics,Fuel,1935.13,BF01,Burkina Faso,2023-09-30,1288942.38586,XOF,0.001524,1964.34819605064
Logistics,Transport,1567.18,BF01,Burkina Faso,2023-09-30,1039396.66435,XOF,0.001524,1584.0405164694
Logistics,Vehicle Maintenance,2521.71,BF01,Burkina Faso,2023-09-30,1435292.95213,XOF,0.001524,2187.3864590461203
Supply,Supplies,3557.58,BF01,Burkina Faso,2023-09-30,2359824.9862100002,XOF,0.001524,3596.37327898404
Supply,Warehousing,2940.29,BF01,Burkina Faso,2023-09-30,2012915.56719,XOF,0.001524,3067.68332439756
Supply,Cold Chain,2465.94,BF01,Burkina Faso,2023-09-30,1678397.1759,XOF,0.001524,2557.8772960715996
HR,Salaries,3212.4,BF01,Burkina Faso,2023-10-31,1817952.0276499998,XOF,0.001524,2770.5588901385995
HR,Training,3741.19,BF01,Burkina Faso,2023-10-31,2282605.72817,XOF,0.001524,3478.69112973108
HR,Recruitment,2776.2,BF01,Burkina Faso,2023-10-31,1505545.94683,XOF,0.001524,2294.45202296892
Medical,Medications,4574.34,BF01,Burkina Faso,2023-10-31,2959277.85023,XOF,0.001524,4509.93944375052
Medical,Medical Equipment,4044.43,BF01,Burkina Faso,2023-10-31,2314741.0616,XOF,0.001524,3527.6653778784002
Medical,Consultations,4634.86,BF01,Burkina Faso,2023-10-31,2639485.69359,XOF,0.001524,4022.5761970311596
Logistics,Fuel,3660.6,BF01,Burkina Faso,2023-10-31,2327099.2914799997,XOF,0.001524,3546.499320215519
Logistics,Transport,1134.31,BF01,Burkina Faso,2023-10-31,762097.4021699999,XOF,0.001524,1161.4364409070797
Logistics,Vehicle Maintenance,3111.56,BF01,Burkina Faso,2023-10-31,1837545.4632400002,XOF,0.001524,2800.4192859777604
Supply,Supplies,4199.94,BF01,Burkina Faso,2023-10-31,2271867.71208,XOF,0.001524,3462.32639320992
Supply,Warehousing,2022.48,BF01,Burkina Faso,2023-10-31,1429520.5305299999,XOF,0.001524,2178.58928852772
Supply,Cold Chain,2739.06,BF01,Burkina Faso,2023-10-31,1922531.2521600001,XOF,0.001524,2929.93762829184
HR,Salaries,4079.81,BF01,Burkina Faso,2023-11-30,2623519.70021,XOF,0.001524,3998.24402312004
HR,Training,2555.79,BF01,Burkina Faso,2023-11-30,1470065.2326999998,XOF,0.001524,2240.3794146347996
HR,Recruitment,4692.41,BF01,Burkina Faso,2023-11-30,2752434.9294200004,XOF,0.001524,4194.710832436081
Medical,Medications,3481.2,BF01,Burkina Faso,2023-11-30,2500075.15238,XOF,0.001524,3810.1145322271195
Medical,Medical Equipment,4517.88,BF01,Burkina Faso,2023-11-30,3087300.9779200004,XOF,0.001524,4705.046690350081
Medical,Consultations,2310.39,BF01,Burkina Faso,2023-11-30,1258237.03869,XOF,0.001524,1917.55324696356
Logistics,Fuel,2385.56,BF01,Burkina Faso,2023-11-30,1440940.7418999998,XOF,0.001524,2195.9936906555995
Logistics,Transport,1724.97,BF01,Burkina Faso,2023-11-30,928900.7076999999,XOF,0.001524,1415.6446785347998
Logistics,Vehicle Maintenance,1423.03,BF01,Burkina Faso,2023-11-30,803271.82306,XOF,0.001524,1224.18625834344
Supply,Supplies,4000.83,BF01,Burkina Faso,2023-11-30,2202303.47223,XOF,0.001524,3356.31049167852
Supply,Warehousing,4173.99,BF01,Burkina Faso,2023-11-30,2412701.67998,XOF,0.001524,3676.95736028952
Supply,Cold Chain,2868.59,BF01,Burkina Faso,2023-11-30,1744694.7498899999,XOF,0.001524,2658.91479883236
HR,Salaries,1786.98,BF01,Burkina Faso,2023-12-31,1082434.00312,XOF,0.001524,1649.62942075488
HR,Training,1114.97,BF01,Burkina Faso,2023-12-31,617721.26647,XOF,0.001524,941.40721010028
HR,Recruitment,1618.01,BF01,Burkina Faso,2023-12-31,1063240.7013,XOF,0.001524,1620.3788287812001
Medical,Medications,1271.43,BF01,Burkina Faso,2023-12-31,720404.77525,XOF,0.001524,1097.8968774809998
Medical,Medical Equipment,4433.66,BF01,Burkina Faso,2023-12-31,2514519.32552,XOF,0.001524,3832.12745209248
Medical,Consultations,2789.65,BF01,Burkina Faso,2023-12-31,1974581.44011,XOF,0.001524,3009.26211472764
Logistics,Fuel,1346.75,BF01,Burkina Faso,2023-12-31,829916.7964,XOF,0.001524,1264.7931977136
Logistics,Transport,2314.27,BF01,Burkina Faso,2023-12-31,1331389.36333,XOF,0.001524,2029.03738971492
Logistics,Vehicle Maintenance,1012.37,BF01,Burkina Faso,2023-12-31,557248.59064,XOF,0.001524,849.2468521353599
Supply,Supplies,4375.7,BF01,Burkina Faso,2023-12-31,2681132.40352,XOF,0.001524,4086.04578296448
Supply,Warehousing,1397.64,BF01,Burkina Faso,2023-12-31,758752.02147,XOF,0.001524,1156.33808072028
Supply,Cold Chain,3234.71,BF01,Burkina Faso,2023-12-31,2299936.11211,XOF,0.001524,3505.10263485564
HR,Salaries,4933.51,BF01,Burkina Faso,2024-01-31,3055670.7313800002,XOF,0.001524,4656.84219462312
HR,Training,2359.68,BF01,Burkina Faso,2024-01-31,1299103.15979,XOF,0.001524,1979.8332155199598
HR,Recruitment,1786.75,BF01,Burkina Faso,2024-01-31,1251047.74997,XOF,0.001524,1906.59677095428
Medical,Medications,1286.91,BF01,Burkina Faso,2024-01-31,686327.8091,XOF,0.001524,1045.9635810684
Medical,Medical Equipment,1265.69,BF01,Burkina Faso,2024-01-31,769496.5971299999,XOF,0.001524,1172.7128140261198
Medical,Consultations,4560.8,BF01,Burkina Faso,2024-01-31,3249269.88036,XOF,0.001524,4951.88729766864
Logistics,Fuel,3267.77,BF01,Burkina Faso,2024-01-31,1937565.7866,XOF,0.001524,2952.8502587784
Logistics,Transport,2114.55,BF01,Burkina Faso,2024-01-31,1398703.67067,XOF,0.001524,2131.62439410108
Logistics,Vehicle Maintenance,4715.21,BF01,Burkina Faso,2024-01-31,3389861.14417,XOF,0.001524,5166.14838371508
Supply,Supplies,3286.88,BF01,Burkina Faso,2024-01-31,1900307.429,XOF,0.001524,2896.068521796
Supply,Warehousing,4712.92,BF01,Burkina Faso,2024-01-31,3143509.93325,XOF,0.001524,4790.709138273
Supply,Cold Chain,2654.7,BF01,Burkina Faso,2024-01-31,1908854.54871,XOF,0.001524,2909.09433223404
HR,Salaries,3237.22,BF01,Burkina Faso,2024-02-29,2112889.97356,XOF,0.001524,3220.0443197054396
HR,Training,3337.38,BF01,Burkina Faso,2024-02-29,2065333.09106,XOF,0.001524,3147.5676307754397
HR,Recruitment,3408.37,BF01,Burkina Faso,2024-02-29,2443262.71661,XOF,0.001524,3723.53238011364
Medical,Medications,2871.88,BF01,Burkina Faso,2024-02-29,1923574.22379,XOF,0.001524,2931.52711705596
Medical,Medical Equipment,3593.2,BF01,Burkina Faso,2024-02-29,2025208.20137,XOF,0.001524,3086.41729888788
Medical,Consultations,1160.92,BF01,Burkina Faso,2024-02-29,755183.6153899999,XOF,0.001524,1150.89982985436
Logistics,Fuel,2052.96,BF01,Burkina Faso,2024-02-29,1366686.4095,XOF,0.001524,2082.8300880780002
Logistics,Transport,3221.01,BF01,Burkina Faso,2024-02-29,2018150.10405,XOF,0.001524,3075.6607585722
Logistics,Vehicle Maintenance,2625.95,BF01,Burkina Faso,2024-02-29,1836187.63225,XOF,0.001524,2798.349951549
Supply,Supplies,4591.41,BF01,Burkina Faso,2024-02-29,2796915.37359,XOF,0.001524,4262.49902935116
Supply,Warehousing,4670.51,BF01,Burkina Faso,2024-02-29,2504634.05353,XOF,0.001524,3817.06229757972
Supply,Cold Chain,2706.19,BF01,Burkina Faso,2024-02-29,1846086.0233800001,XOF,0.001524,2813.43509963112
HR,Salaries,1883.77,BF01,Burkina Faso,2024-03-31,1320874.37262,XOF,0.001524,2013.01254387288
HR,Training,1241.1,BF01,Burkina Faso,2024-03-31,765009.85125,XOF,0.001524,1165.8750133049998
HR,Recruitment,4920.32,BF01,Burkina Faso,2024-03-31,2805816.7100799996,XOF,0.001524,4276.064666161919
Medical,Medications,2990.91,BF01,Burkina Faso,2024-03-31,1944171.2735899999,XOF,0.001524,2962.91702095116
Medical,Medical Equipment,3244.63,BF01,Burkina Faso,2024-03-31,2218308.82303,XOF,0.001524,3380.70264629772
Medical,Consultations,2733.02,BF01,Burkina Faso,2024-03-31,1643093.5701600001,XOF,0.001524,2504.07460092384
Logistics,Fuel,4979.51,BF01,Burkina Faso,2024-03-31,3102611.0143,XOF,0.001524,4728.3791857932
Logistics,Transport,4137.06,BF01,Burkina Faso,2024-03-31,2358795.13372,XOF,0.001524,3594.80378378928
Logistics,Vehicle Maintenance,1586.71,BF01,Burkina Faso,2024-03-31,907267.2458399999,XOF,0.001524,1382.6752826601598
Supply,Supplies,3937.38,BF01,Burkina Faso,2024-03-31,2364620.03188,XOF,0.001524,3603.68092858512
Supply,Warehousing,1322.16,BF01,Burkina Faso,2024-03-31,908231.5026299999,XOF,0.001524,1384.1448100081197
Supply,Cold Chain,3276.0,BF01,Burkina Faso,2024-03-31,2302855.12076,XOF,0.001524,3509.5512040382396
HR,Salaries,3848.31,BF01,Burkina Faso,2024-04-30,2522987.73039,XOF,0.001524,3845.0333011143603
HR,Training,2109.46,BF01,Burkina Faso,2024-04-30,1504522.65391,XOF,0.001524,2292.8925245588403
HR,Recruitment,1757.64,BF01,Burkina Faso,2024-04-30,1251257.65621,XOF,0.001524,1906.9166680640399
Medical,Medications,3806.47,BF01,Burkina Faso,2024-04-30,2417122.83016,XOF,0.001524,3683.6951931638396
Medical,Medical Equipment,2466.01,BF01,Burkina Faso,2024-04-30,1305236.35774,XOF,0.001524,1989.1802091957597
Medical,Consultations,3275.49,BF01,Burkina Faso,2024-04-30,2359346.1376,XOF,0.001524,3595.6435137024
Logistics,Fuel,1468.37,BF01,Burkina Faso,2024-04-30,898720.12613,XOF,0.001524,1369.64947222212
Logistics,Transport,2296.82,BF01,Burkina Faso,2024-04-30,1568084.88721,XOF,0.001524,2389.76136810804
Logistics,Vehicle Maintenance,2423.61,BF01,Burkina Faso,2024-04-30,1296020.1618899999,XOF,0.001524,1975.1347267203598
Supply,Supplies,4506.06,BF01,Burkina Faso,2024-04-30,2892560.46376,XOF,0.001524,4408.26214677024
Supply,Warehousing,4571.42,BF01,Burkina Faso,2024-04-30,2521406.87402,XOF,0.001524,3842.6240760064798
Supply,Cold Chain,3098.57,BF01,Burkina Faso,2024-04-30,1769890.0582599998,XOF,0.001524,2697.3124487882396
HR,Salaries,1376.19,BF01,Burkina Faso,2024-05-31,938313.69065,XOF,0.001524,1429.9900645506
HR,Training,1736.55,BF01,Burkina Faso,2024-05-31,926178.48615,XOF,0.001524,1411.4960128926
HR,Recruitment,3952.05,BF01,Burkina Faso,2024-05-31,2504876.75762,XOF,0.001524,3817.43217861288
